text,label
 the film  directed by joel zwick  is heartfelt and hilarious in ways you ca nt fake  ,1
is honestly affecting ,1
more watchable ,1
does not deserve to go down with a ship as leaky as this ,0
s a lovely  sad dance highlighted by kwan s unique directing style ,1
much a home video  and so devoid of artifice and purpose that it appears not to have been edited at all  ,0
bristles with passion and energy ,1
shallow  noisy and pretentious  ,0
a banal spiritual quest ,0
be seen as hip  winking social commentary ,1
this modern mob music drama ,1
for a reasonably intelligent person to get through the country bears ,0
nothing but one relentlessly depressing situation after another for its entire running time ,0
 it uses very little dialogue  making it relatively effortless to read and follow the action at the same time  ,1
a ninetyfiveminute commercial ,0
creates a fluid and mesmerizing sequence of images to match the words of nijinsky s diaries  ,1
this would have been better than the fiction it has concocted  and ,0
amusing for a good while ,1
the film s hero is a bore and his innocence soon becomes a questionable kind of inexcusable dumb innocence  ,0
ultimately flawed ,0
it projects onto the screen  loud  violent and mindless ,0
reallife persona ,1
letdown ,0
jumpinyourseat moment ,1
acute expressiveness ,1
is the action as gripping ,1
are complex and quirky  but entirely believable ,1
shrewd  powerful act ,1
a definitive countercultural document ,1
as well as rank frustration from those in the know about rubbo s dumbeddown tactics  ,0
poor casting ,0
 abandon  ,0
particularly balk  who s finally been given a part worthy of her considerable talents ,1
vacuous ,0
bounces around with limp wrists ,0
has the throwntogether feel of a summercamp talent show  hastily written  underrehearsed  arbitrarily plotted ,0
outing with one of france s most inventive directors ,1
even murphy s expert comic timing and famed charisma ca nt rescue this effort  ,0
this is rote spookiness  with nary an original idea  or role  or edit  or score  or anything  really  in sight ,0
find it more than capable of rewarding them ,1
a terrible movie that some people ,0
saturday night livestyle parody  seventys blaxploitation films and goofball action comedy ,1
ignore the reputation  and ignore the film  ,0
fessenden has nurtured his metaphors at the expense of his narrative  but he does display an original talent  ,1
beneath it ,0
too goodly  wise and knowing ,1
however  it s pleasant enough and its ecological  prowildlife sentiments are certainly welcome  ,1
hard to care about a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful  selfsatisfied twentytwoyearold girlfriend and an equally beautiful  selfsatisfied eighteenyearold mistress ,0
a chilling tale of one of the great crimes of twentyth century france  the murder of two rich women by their servants in one thousand nine hundred and thirtythree  ,1
the movie is loaded with good intentions ,1
a caffeinated  sloppy brilliance  ,1
assured  vital and well wrought  the film is  arguably  the most accomplished work to date from hong kong s versatile stanley kwan  ,1
smartly and wistfully ,1
has been awarded mythic status in contemporary culture ,1
halfassed ,0
never quite ,0
gentle jesus ,1
in a way that s too loud  too goofy and too short of an attention span ,0
warn ,0
is a finelooking film with a bouncy score and a clutch of lively songs for deft punctuation  ,1
exasperated by a noticeable lack of pace ,0
would do better elsewhere  ,0
joys ,1
wellbehaved film ,1
a little too much resonance with real world events ,0
is too crazy to be interesting ,0
gangster no one is solid  satisfying fare for adults  ,1
nearly every attempt at humor here is doa  ,0
girls  right down the reality drain ,0
fantasized ,1
turn in perfectly executed and wonderfully sympathetic characters  who are alternately touching and funny ,1
wasting ,0
a partyhearty teen flick that scalds like acid  ,0
a partyhearty teen ,1
whatever terror the heroes of horror movies try to avoid ,0
one can honestly describe as looking  sounding and simply feeling like no other film in recent history ,1
the salton sea works the way a good noir should ,1
is uniquely felt with a sardonic jolt  ,1
 plodding picture ,0
pretty watchable ,1
 the film shows signs that someone other than the director got into the editing room and tried to improve things by making the movie go faster  ,0
made me want to pack raw dough in my ears  ,0
great pleasure ,1
jolt you ,1
the central flaw ,0
a captivating drama ,1
charismatic rising star jake gyllenhaal ,1
on digital video  whose tiny camera enables shafer to navigate spaces both large  and small  with considerable aplomb ,1
sad  occasionally horrifying but often inspiring film ,1
goodness ,1
with cute accents performing agesold slapstick and unfunny tricks ,0
to think about the ways we consume pop culture ,1
it s no lie  big fat liar is a real charmer  ,1
the right bands for the playlist and the costuming of the stars ,1
ensues when brash young men set out to conquer the online world with laptops  cell phones and sketchy business plans ,0
 kinky fun ,1
stalking ,0
politically potent ,1
when you  are rooting for the film to hurry up and get to its subjects  deaths just so the documentary will be over ,0
about every cliche in the war movie compendium across its indulgent twohourandfifteenminute length ,0
it is nt quite one of the worst movies of the year  ,0
irresponsible ,0
fused with solid performances and eerie atmosphere ,1
there s nothing exactly wrong here  but there s not nearly enough that s right  ,0
mib ii  succeeds due to its rapidfire delivery and enough inspired levity that it ca nt be dismissed as mindless  ,1
godard uses his characters  if that s not too glorified a term  as art things  mouthpieces  visual motifs  blanks  ,0
it s at once laughable and compulsively watchable  in its committed dumbness  ,1
irritates and ,0
by a fantastic dual performance from ian holm ,1
the best actors there is ,1
collateral damage is trash ,0
 will need a stronger stomach than us ,0
that will strike a chord with anyone who s ever ,1
laidback ,1
applying definition to both sides of the man ,1
each one of these people stand out and ,1
minor classic ,1
a sobering meditation ,1
instantly forgettable ,0
proves to be a compelling ,1
younger lad ,1
resolutely avoids all the comic possibilities of its situation  and becomes one more dumb high school comedy about sex gags and prom dates  ,0
estranged from reality ,0
well established ,1
teendriven  toilethumor codswallop ,0
is this bad on purpose ,0
swill ,0
can not help but love cinema paradiso  whether the original version or new director s cut  ,1
the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ,0
bad at a fraction the budget ,0
deserves a look ,1
a ripping good yarn ,1
may be galled that you ve wasted nearly two hours of your own precious life with this silly little puddle of a movie ,0
combined with the misconceived final five ,0
layered  welldeveloped characters and ,1
nonjudgmental ,1
another week  another grossout college comedy  ugh  ,0
pitchperfect holden ,1
eight legged freaks falls flat as a spoof  ,0
tendentious intervention ,0
the movie s progression into rambling incoherence ,0
some of the worst dialogue ,0
essentially a collection of bits  and they  are all naughty  ,1
even bother to rent this on video ,0
are appealing enough to probably have a good shot at a hollywood career  if they want one ,1
rises to its clever whatif concept  ,1
largestever historical canvas ,1
an uplifting ,1
an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it did nt try to  ,1
in addition to gluing you to the edge of your seat  changing lanes is also a film of freshness  imagination and insight  ,1
 the kid s  just too bratty for sympathy ,0
an ungainly movie  illfitting ,0
with the assassin is structured less as a documentary and more as a found relic ,0
the screenplay never let us us forget that bourne was once an amoral assassin just like the ones who are pursuing him  there is never really a true  us  versus  them  ,1
have infused frida with a visual style unique and inherent to the titular character s paintings and in the process created a masterful work of art of their own ,1
undercuts ,0
it picked me up  swung me around  and dropped me back in my seat with more emotional force than any other recent film  ,1
not falling into the hollywood trap and making a vanity project with nothing new to offer ,1
the sentimental cliches ,0
a wonderful  imaginative script ,1
that come full circle to end on a positive  if tragic  note ,1
the abiding impression  despite the mild hallucinogenic buzz  is of overwhelming waste  ,0
 fun  popcorn movies ,1
decay ,0
s definite room for improvement  ,0
putting the primitive murderer inside a hightech space station unleashes a pandora s box of special effects that run the gamut from cheesy to cheesier to cheesiest  ,0
survive a screening with little harm done  except maybe for the last fifteen minutes  which are as maudlin as any afterschool special you can imagine ,0
others  more attuned to the anarchist maxim that  the urge to destroy is also a creative urge   or more willing to see with their own eyes  will find morrison s iconoclastic uses of technology to be liberating  ,1
s hard to imagine any recent film  independent or otherwise  that makes as much of a mess as this one ,0
once intimate and universal cinema ,1
witty ,1
a fine documentary ,1
stolid remake ,0
does leblanc make one spectacularly uglylooking broad ,0
any real emotional impact ,0
awfully hard ,0
narrative banality ,0
this quiet  introspective and entertaining independent ,1
long and relentlessly saccharine film ,0
an unseemly pleasure ,1
an extremely unpleasant film  ,0
reap more rewards ,1
the feeling of having been slimed in the name of high art ,0
 the cockettes  provides a window into a subculture hellbent on expressing itself in every way imaginable   ,1
a better lot ,1
playstation cocktail ,0
subplots involving the various silbersteins that it feels more like the pilot episode of a tv series than a feature film ,0
while somewhat less than it might have been  the film is a good one  and ,1
choke ,0
s muy loco  but no more ridiculous than most of the rest of  dragonfly ,0
director carl franklin  so crisp and economical in one false move  ,1
sincerely crafted picture ,1
much baked cardboard ,0
 this loose collection of largely improvised numbers would probably have worked better as a onehour tv documentary  ,0
to learn  to grow  ,1
just because a walk to remember is shrewd enough to activate girlish tear ducts does nt mean it s good enough for our girls  ,0
be  assayas   homage to the gallic  tradition of quality ,1
no amount of blood and disintegrating vampire cadavers can obscure this movie s lack of ideas  ,0
become wearisome ,0
stirs us ,1
a helping hand ,1
less of a trifle if ms sugarman followed through on her defiance of the saccharine ,0
a limp eddie murphy vehicle that even he seems embarrassed to be part of  ,0
one of those exceedingly rare films in which the talk alone is enough to keep us involved  ,1
hmmm ,0
equal amounts of beautiful movement and inside information  ,1
it labors as storytelling  ,0
is worse  ,0
it s never laughoutloud funny  but it is frequently amusing  ,1
the film never finds its tone and several scenes run too long  ,0
the story s pathetic and ,0
is overlong and not wellacted  but credit writerproducerdirector ,0
suits the script ,1
 the frenchproduced  read my lips  is a movie that understands characters must come first  ,1
the heart and ,1
needless ,0
its sheer dynamism is infectious  ,1
overladen ,0
to send your regrets ,0
intentionally introducing your kids to films which will cause loads of irreparable damage that years and years of costly analysis could never fix ,0
they  are treading water at best in this forgettable effort ,0
funloving ,1
soliloquies about nothing delivered by the former mr drew barrymore ,0
bad enough ,0
a hard look at one man s occupational angst and its subsequent reinvention  a terrifying study of bourgeois desperation worthy of claude chabrol  ,1
spiritcrushing ennui ,0
your brain and your secret agent decoder ring at the door ,0
judd s characters ought to pick up the durable best seller smart women  foolish choices for advice  ,0
threehour endurance test ,0
mariah carey gives us another peek at some of the magic we saw in glitter here in wisegirls  ,1
fourthrate ,0
feels homogenized and a bit contrived  ,0
approached the usher and said that if she had to sit through it again  she should ask for a raise ,0
very capable ,1
it ends up being neither  and fails at both endeavors  ,0
try this obscenely bad dark comedy  so crass that it makes edward burns  sidewalks of new york look like oscar wilde ,0
that stinks so badly of hardsell imagemongering you ,0
scotland looks wonderful  the fans are often funny fanatics  the showdown sure beats a bad day of golf ,1
melancholic ,0
 it also rocks  ,1
of marivaux s rhythms  and mira sorvino s limitations as a classical actress ,0
into a black hole of dullness ,0
are we dealing with dreams  visions or being told what actually happened as if it were the third ending of clue  ,0
instructive ,1
amazing ,1
the script boasts some tart tvinsider humor  but the film has not a trace of humanity or empathy ,0
critics have come to term an  ambitious failure ,0
her reallife persona is so charmless and vacant ,0
cannon s confidence and laidback good spirits are  with the drumming routines  among the film s saving graces  ,1
the chateau has one very funny joke and a few other decent ones  but all it amounts to is a mildly funny  sometimes tedious  ultimately insignificant film  ,0
quite touching ,1
the wobbly premise work ,0
city by the sea is a gritty police thriller with all the dysfunctional family dynamics one could wish for  ,1
these people mattered ,1
a script that assumes you are nt very bright ,0
it is hard not to be especially grateful for freedom after a film like this  ,1
the movie s charm ,1
mostly martha is mostly unsurprising ,0
be most effective if used as a tool to rally anticatholic protestors ,0
it s tough to be startled when you  are almost dozing  ,0
targeted to the tiniest segment of an already obscure demographic  ,0
riproaring comedy action ,1
work that lacks both a purpose and a strong pulse ,0
s not enough intelligence  wit or innovation on the screen to attract and sustain an older crowd  ,0
s touching and tender and proves that even in sorrow you can find humor ,1
possible argentine american beauty reeks ,0
the cast is topnotch ,1
 would do well to check this one out because it s straight up twin peaks action ,1
believing it was just coincidence ,1
recycled ,0
it s kind of insulting  both to men and women  ,0
fake backdrops ,0
it s a talking head documentary  but a great one  ,1
as a masterfully made one ,1
is its utter sincerity  ,1
the optimism of a group of people who are struggling to give themselves a better lot in life than the ones ,1
come along that turns me into that annoying specimen of humanity that i usually dread encountering the most  the fanboy ,1
as singleminded as john carpenter s original ,0
to be mesmerised ,1
daft by half  but supremely good natured ,1
some of the most inventive ,1
the numerous scenes ,1
teensleaze ,0
the most ravaging  gutwrenching  frightening war scenes since  saving private ryan  ,1
it is spooky and subtly in love with myth ,1
funniest american comedy ,1
pure craft ,1
painful and ,0
enjoys ,1
is never dull ,1
are both overplayed and exaggerated ,0
is as visceral as a gut punch ,1
hoffman s quirks and mannerisms  particularly his penchant for tearing up on cue  things that seem so real in small doses  become annoying and artificial  ,0
the pool drowned me in boredom  ,0
is unusual but unfortunately also irritating  ,0
lost in the translation  another routine hollywood frightfest in which the slack execution italicizes the absurdity of the premise ,0
does nt wrap the proceedings up neatly ,0
s fun  wispy  wise and surprisingly inoffensive for a film about a teen in love with his stepmom  ,1
lighthearted glow ,1
hiphop prison thriller of stupefying absurdity ,0
pushes its agenda too forcefully ,0
pure cinematic intoxication  a wildly inventive mixture of comedy and melodrama  tastelessness and swooning elegance  ,1
its drastic iconography ,1
love  memory  history ,1
of the people who loved the one thousand nine hundred and eightynine paradiso will prefer this new version ,1
 it is visually ravishing  penetrating  impenetrable  ,1
could desire to the cheap  graceless  hackneyed scifi serials of the thirtys and fortys ,0
a really strong second effort ,1
rare to see a movie that takes such a speedy swan dive from  promising  to  interesting  to  familiar  before landing squarely on  stupid  ,0
the operative word for  bad company ,0
affirming  ,1
if also somewhat hermetic  ,1
babies are the kiss of death in this bitter italian comedy ,0
based on three short films and two features  here s betting her third feature will be something to behold ,1
for industrialmodel meat freezers ,0
often lethally dull ,0
love the music ,1
